iter	Passed	Remaining
0	173	173585
1	191	95567
2	209	69547
3	227	56713
4	246	48989
5	263	43601
6	281	39929
7	299	37105
8	317	34916
9	336	33269
10	355	31941
11	374	30817
12	394	29914
13	413	29101
14	430	28253
15	448	27566
16	466	26987
17	485	26498
18	501	25906
19	515	25270
20	529	24675
21	544	24207
22	560	23811
23	575	23401
24	589	22980
25	604	22647
26	618	22291
27	632	21950
28	664	22260
29	679	21967
30	692	21660
31	706	21358
32	720	21111
33	736	20917
34	752	20742
35	772	20692
36	789	20555
37	807	20434
38	824	20313
39	840	20162
40	854	19992
41	871	19873
42	886	19719
43	900	19563
44	917	19465
45	931	19325
46	946	19196
47	961	19068
48	975	18927
49	990	18812
50	1003	18668
51	1018	18560
52	1031	18433
53	1046	18330
54	1060	18223
55	1074	18116
56	1089	18019
57	1102	17911
58	1117	17823
59	1130	17707
60	1143	17599
61	1156	17495
62	1169	17395
63	1181	17280
64	1194	17182
65	1207	17093
66	1222	17024
67	1237	16966
68	1252	16897
69	1266	16828
70	1281	16761
71	1296	16709
72	1309	16633
73	1323	16557
74	1336	16487
75	1349	16403
76	1361	16325
77	1377	16277
78	1391	16218
79	1404	16153
80	1417	16082
81	1430	16011
82	1442	15938
83	1456	15885
84	1470	15824
85	1482	15759
86	1494	15688
87	1507	15628
88	1524	15600
89	1537	15548
90	1550	15490
91	1564	15439
92	1578	15391
93	1593	15362
94	1607	15315
95	1621	15264
96	1636	15230
97	1649	15180
98	1660	15109
99	1673	15061
100	1687	15018
101	1701	14983
102	1716	14948
103	1729	14902
104	1742	14850
105	1755	14804
106	1768	14760
107	1781	14717
108	1793	14663
109	1805	14611
110	1818	14567
111	1833	14533
112	1846	14493
113	1858	14446
114	1870	14397
115	1884	14358
116	1897	14321
117	1910	14281
118	1922	14230
119	1935	14191
120	1948	14154
121	1961	14117
122	1973	14073
123	1985	14029
124	1999	13996
125	2012	13960
126	2024	13917
127	2036	13876
128	2050	13842
129	2063	13808
130	2076	13771
131	2088	13731
132	2099	13688
133	2112	13650
134	2125	13619
135	2138	13587
136	2151	13554
137	2164	13522
138	2177	13485
139	2189	13451
140	2200	13408
141	2212	13369
142	2225	13336
143	2237	13300
144	2249	13262
145	2261	13230
146	2276	13207
147	2288	13177
148	2301	13144
149	2314	13117
150	2327	13087
151	2341	13060
152	2354	13036
153	2369	13014
154	2382	12988
155	2397	12968
156	2410	12941
157	2423	12914
158	2436	12884
159	2448	12856
160	2461	12828
161	2475	12805
162	2489	12782
163	2503	12763
164	2517	12738
165	2530	12714
166	2544	12692
167	2558	12669
168	2573	12655
169	2587	12631
170	2601	12610
171	2614	12586
172	2627	12561
173	2641	12538
174	2654	12512
175	2668	12493
176	2680	12463
177	2693	12437
178	2706	12414
179	2721	12396
180	2734	12373
181	2747	12349
182	2760	12324
183	2773	12301
184	2787	12279
185	2802	12264
186	2816	12244
187	2829	12219
188	2841	12194
189	2855	12171
190	2869	12155
191	2883	12135
192	2905	12149
193	2920	12132
194	2936	12120
195	2949	12099
196	2963	12079
197	2975	12053
198	2988	12029
199	3002	12008
200	3016	11991
201	3031	11974
202	3044	11952
203	3057	11928
204	3070	11906
205	3083	11885
206	3097	11866
207	3112	11849
208	3124	11823
209	3137	11802
210	3151	11782
211	3166	11771
212	3182	11756
213	3197	11742
214	3210	11722
215	3222	11696
216	3235	11673
217	3249	11654
218	3263	11637
219	3276	11618
